iter	Passed	Remaining
0	265	264796
1	399	199331
2	544	180960
3	662	164934
4	776	154565
5	893	147973
6	1015	144041
7	1134	140681
8	1259	138730
9	1373	135987
10	1478	132958
11	1613	132816
12	1737	131887
13	1846	130045
14	1942	127532
15	2049	126023
16	2169	125452
17	2296	125282
18	2420	124954
19	2529	123962
20	2653	123718
21	2768	123053
22	2889	122722
23	2994	121775
24	3145	122659
25	3256	121978
26	3369	121427
27	3488	121093
28	3606	120771
29	3721	120315
30	3824	119544
31	3933	119003
32	4064	119094
33	4195	119204
34	4304	118671
35	4410	118112
36	4518	117601
37	4647	117658
38	4756	117201
39	4874	116988
40	4989	116696
41	5089	116097
42	5212	116016
43	5331	115828
44	5452	115722
45	5561	115339
46	5667	114913
47	5793	114907
48	5903	114579
49	6019	114375
50	6134	114153
51	6225	113499
52	6331	113126
53	6457	113121
54	6572	112931
55	6718	113255
56	6846	113262
57	6980	113374
58	7105	113319
59	7222	113154
60	7314	112602
61	7421	112276
62	7529	111986
63	7638	111718
64	7763	111670
65	7863	111275
66	7963	110889
67	8065	110539
68	8190	110511
69	8306	110357
70	8402	109947
71	8505	109629
72	8621	109479
73	8715	109063
74	8830	108912
75	8943	108737
76	9052	108507
77	9177	108487
78	9272	108103
79	9382	107893
80	9495	107736
81	9603	107517
82	9693	107096
83	9817	107060
84	9929	106885
85	10026	106565
86	10136	106377
87	10242	106148
88	10363	106075
89	10470	105865
90	10578	105673
91	10692	105531
92	10800	105331
93	10914	105194
94	11051	105282
95	11170	105184
96	11261	104838
97	11360	104561
98	11480	104482
99	11574	104173
100	11720	104323
101	11813	104008
102	11913	103755
103	12031	103658
104	12151	103576
105	12252	103335
106	12390	103405
107	12520	103410
108	12640	103324
109	12758	103228
110	12870	103079
111	12955	102717
112	13068	102580
113	13172	102372
114	13271	102129
115	13375	101928
116	13482	101748
117	13583	101527
118	13704	101457
119	13790	101126
120	13899	100973
121	14031	100979
122	14147	100876
123	14249	100667
124	14343	100407
125	14445	100200
126	14541	99958
127	14648	99790
128	14741	99536
129	14844	99341
130	14954	99203
131	15070	99096
132	15168	98883
133	15259	98618
134	15345	98326
135	15449	98151
136	15548	97942
137	15651	97768
138	15767	97669
139	15865	97459
140	15968	97283
141	16070	97104
142	16184	96991
143	16304	96923
144	16423	96841
145	16535	96720
146	16626	96479
147	16742	96381
148	16850	96242
149	16952	96061
150	17039	95804
151	17158	95726
152	17267	95590
153	17371	95432
154	17482	95309
155	17567	95046
156	17682	94945
157	17793	94821
158	17902	94690
159	17996	94479
160	18096	94304
161	18238	94342
162	18341	94181
163	18449	94047
164	18559	93923
165	18673	93815
166	18792	93735
167	18887	93540
168	19019	93523
169	19146	93480
170	19267	93405
171	19366	93227
172	19464	93048
173	19585	92974
174	19692	92835
175	19804	92719
176	19917	92609
177	20016	92437
178	20121	92289
179	20245	92230
180	20343	92049
181	20429	91820
182	20544	91720
183	20638	91529
184	20747	91401
185	20837	91192
186	20952	91092
187	21065	90985
188	21167	90830
189	21268	90669
190	21367	90502
191	21472	90362
192	21576	90218
193	21699	90152
194	21802	90006
195	21892	89803
196	22018	89752
197	22107	89546
198	22203	89372
199	22314	89257
200	22424	89138
201	22541	89049
202	22640	88889
203	22761	88815
204	22864	88669
205	22957	88485
206	23047	88294
207	23160	88187
208	23266	88055
209	23356	87864
210	23475	87781
211	23588	87679
212	23679	87491
213	23784	87359
214	23895	87245
215	24001	87115
216	24089	86923
217	24193	86785
218	24300	86661
219	24401	86515
220	24500	86361
221	24617	86272
222	24734	86181
223	24884	86206
224	25002	86119
225	25137	86091
226	25255	86003
227	25358	85862
228	25465	85737
229	25551	85543
230	25672	85462
231	25764	85287
232	25871	85165
233	25976	85035
234	26086	84918
235	26185	84770
236	26277	84599
237	26378	84454
238	26479	84312
239	26612	84272
240	26713	84131
241	26808	83970
242	26914	83844
243	27021	83723
244	27133	83614
245	27238	83486
246	27340	83349
247	27449	83233
248	27564	83136
249	27723	83171
250	27830	83047
251	27940	82935
252	28052	82828
253	28158	82701
254	28249	82533
255	28377	82471
256	28461	82282
257	28568	82161
258	28674	82037
259	28767	81877
260	28886	81790
261	28987	81650
262	29094	81531
263	29216	81451
264	29327	81342
265	29443	81245
266	29548	81120
267	29641	80960
268	29727	80783
269	29841	80682
270	29936	80531
271	30050	80429
272	30151	80293
273	30260	80178
274	30358	80036
275	30454	79886
276	30561	79768
277	30675	79668
278	30768	79513
279	30862	79360
280	30970	79243
281	31068	79104
282	31201	79050
283	31303	78919
284	31402	78781
285	31513	78674
286	31607	78522
287	31709	78392
288	31804	78244
289	31896	78090
290	31995	77954
291	32079	77781
292	32185	77663
293	32279	77514
294	32376	77375
295	32502	77302
296	32614	77197
297	32717	77073
298	32803	76908
299	32903	76775
300	33015	76670
301	33112	76531
302	33233	76446
303	33328	76303
304	33444	76209
305	33560	76114
306	33655	75971
307	33764	75861
308	33857	75713
309	33952	75572
310	34042	75418
311	34137	75277
312	34242	75159
313	34342	75028
314	34438	74890
315	34526	74735
316	34624	74601
317	34730	74485
318	34822	74338
319	34949	74267
320	35046	74132
321	35135	73980
322	35232	73845
323	35381	73821
324	35485	73700
325	35604	73611
326	35746	73569
327	35837	73423
328	35943	73307
329	36039	73171
330	36138	73040
331	36233	72903
332	36332	72775
333	36453	72689
334	36548	72552
335	36638	72405
336	36731	72265
337	36857	72187
338	36959	72066
339	37057	71935
340	37142	71779
341	37246	71661
342	37360	71561
343	37453	71422
344	37558	71307
345	37688	71238
346	37814	71160
347	37948	71098
348	38044	70966
349	38172	70892
350	38274	70770
351	38373	70641
352	38460	70493
353	38547	70344
354	38654	70231
355	38762	70120
356	38864	69999
357	38980	69904
358	39108	69829
359	39223	69731
360	39328	69614
361	39428	69489
362	39528	69365
363	39631	69245
364	39732	69124
365	39833	69001
366	39921	68855
367	40019	68728
368	40113	68594
369	40205	68457
370	40300	68325
371	40397	68197
372	40515	68105
373	40613	67978
374	40730	67883
375	40827	67756
376	40940	67655
377	41036	67525
378	41155	67434
379	41252	67306
380	41342	67168
381	41428	67022
382	41522	66891
383	41634	66788
384	41724	66650
385	41839	66552
386	41958	66462
387	42049	66326
388	42155	66212
389	42260	66099
390	42357	65974
391	42480	65888
392	42595	65789
393	42693	65665
394	42780	65524
395	42871	65390
396	42968	65264
397	43061	65133
398	43152	64999
399	43244	64867
400	43356	64763
401	43476	64674
402	43571	64546
403	43678	64435
404	43782	64321
405	43891	64216
406	43983	64083
407	44096	63982
408	44196	63863
409	44290	63735
410	44398	63627
411	44488	63492
